,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
A,D,n2, , , , , ,D,D,n2, , ,D,D,D,D,D, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,e2,D, , ,D,D,D
B,e1,D, , , , , ,D,D,D,D,D, , ,D,e1,D,D,D, , ,n1,n1,n1,n1, , , ,D,D,D,D,D, , , ,D,e1,e1,e1, , 
C, ,D,D,e1, , , , ,D,D,D,D, , ,e1,e1,D,D,D, , ,e1,n1,n1,n1,n1, , ,D,D,D,e1,D, , ,D,D,D,D, , , 
D, ,D,D,D, , , , , ,e2,D,D, , ,D,e1,e1,n2, , , ,D,e1,D,e1,D, , ,e2,D,D,e1,D, , ,e1,e2,D,D,D, , 
E,D,D,D,D,e1, , ,D,e1,D,e1,D, , ,D,D,D,e1,e1, , ,e1,D,e1,D,D, , , , , , , , , , , ,D,n2,n1,n1,n1
F,L,L,L,L,L, , , , , , , , , ,D,D,L,L,L, , ,D,L,L,L,L, , ,L,L,L,L,L, , ,D,D,D,D,D, , 
G,D,D,L,L,L, , ,e1,D,e1,e2,D, , ,e1,D,L,L, , , ,L,L,L,L,L, , ,e1,e1,D,e1,e1, , , , , ,L,L, , 
H,e1,D,D,D, , , , , ,e1,D,e1, , ,D,e1,D,D,D, , ,e1,e1,e1,D,D, , ,D,D,D,e1,D, , ,e1,D,D,D,D, , 
I,e1,D,L, , , , ,L,L,L,L,n1, , ,e1,e1,D,D,D, , ,e2,D,e1,e1,D, , ,L,L,L, , , , ,D,e1,D,D,D, , 
J, , , ,L,L,L,L, , , ,L,L,L,L,n2, , ,D,e1,D,D, , , ,n1,n1, , ,L,L,L,n1,n1, , ,D,D,D,D,e1, , 
K,D,D,L,L,L, , ,e2,D,D,D,D, , , , , ,D,e1, , ,D,D,L,L,L, , ,e1,D,D,D,D, , ,L,L,L, , , , 
L,D,D, , ,e1,D,e1,e1,D, , ,D,D,D,e1,D, , , ,e1,D,D,e1, , , , , ,D,D,D,D,e1, , ,e1,D,D,e1,D, , 
M,n2,n1, , , ,L,L,L,n1, , , , , , ,D,D,D,L, , ,L,L,L,L,L, , ,L,L,n2,n1,n1, , ,D,D,D,L,L, , 
N,e1,L,L,L, , , ,D,D,e1,L,L, , , , ,D,D,e1, , ,D,L,L,L,L, , ,D,D,D,D,L, , ,D,L,L,L,L, , 
O, ,D,D, , , , , ,D,D,L,L, , ,L,L,L,n1,n1, , ,e1,e1,e2,L,L, , , , , ,D,D,L,L,n1, , ,e1,D,e1,e2
P,L,L,n1,n1, , , ,D,D,L,L,L, , ,D,L,L,L,L, , ,D,D,n1,n1, , , ,D,L,L,L, , , , ,D,D,D,D, , 
Q, , , ,D,D,D, , ,D,D,D,D,e1, , ,D,e1,e1,D, , ,e2,e1,e2,D,D, , , , ,e2,D,e1,e1,D, , ,D,D,D, , 
R,e1,e1,D,n2, , , ,D,D,D,D,D, , , ,e1,e1,D,e1, , ,D,D,D,D,D, , ,D,D,n2, , , ,e1,D,D,D,D, , , 
S, ,e2,e1,e1,D, , , , , , , , , ,D,e1,D,D,n1, , ,e2,e1,D,D,e1, , ,e1,D,e1,e2,D, , ,D,D,D,n1,n1, , 
T, , , , , , , ,D,D,D,D,e1, , ,D,D,D,e1,e2, , ,D,e1,D,D,e1, , ,L,L,L,L,L, , ,D,e1,L,L,L, , 
U,D,n2, , , , , , , ,D,L,L,L,L, , ,e2,e1,D,D,D, , ,e2,D,D, , ,D,D,L,L,L, , ,e2,D,e1,e1,L, , 
V,D,D,e1,L,L, , ,D,e1,D,D,D, , , , , ,D,D,D,e1,e1, , ,D,e1, , ,D,e1,L,L,L, , ,e1,D,e1,L, , , 
W,e2,D,D,D,D, , ,L,L,L,n2, , , ,L,L,L,L,L, , ,e2,D,D,L,L, , , , , , , , , , , ,D,D,D,D,D
X,D,D,L,n1,n1, , , , , ,e2,D, , , ,L,L,L,L, , ,D,D,L,L,L, , ,D,D,D,D,L, , ,L,L,L,L,L, , 
Y, ,D,L,L, , , ,n1,n1,n1,n1, , , ,e2,L,L,L,L, , ,D,D,L,L,L, , ,D,L,L,L,L, , , , ,e2,D,D, , 
Z, , ,D,e1,D,D, , ,D,D, , , , ,e1,D,D,e1,L, , ,D,D,e1,L,L, , ,D,e1,D,e1,L, , ,D,e1,e1,D,D, , 
AA, ,D,D,D,n2, , , , , , ,D,D,D,D, , ,e2,e1, , ,e1,D,D,D,e1, , ,D,D,D,D,D, , ,e1,e2,D,D,D, , 
AB,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , , , ,D,D,D,D,D, , 
AC,n1,n1,n1,n1, , , ,D,e1,e1,D,D, , ,D,e1,D,D,e1, , ,D,e1,e1,D,D, , , ,D,D, , , , ,D,e1,e1,e1,D, , 
AD,D,D,D,D, , , ,D,D,D,D,D, , ,D,D,D,D,D, , , ,D,D,D,D, , , ,D,D,D,D, , ,D,D,D,n2, , , 
AE, ,L,L,L, , , ,D,L,L,L, , , ,e2,D,D,D,D,D, , , ,e2,D, , , ,e2,D,D,D, , , ,D,D,L, , , , 
AF, ,D,L,L,L,L, , , ,L,L, , , ,D,D,D,L,L,L, , , , ,D,L,L,L,L,n2, , , , , ,D,D,D,D, , , 
AG, , , ,D,D, , , ,L,n1,n1, , , ,D,e1,e1,D,D,D, , , ,L,n1, , , ,L,L,L,L, , , ,D,D,D,D,e1,D, 
AH,e1,e1,e1,n1,n1,n1, , , ,L,L, , , , , , ,D,n2, , , ,D,e1,e1, , , ,D,D,D,e1, , , ,D,D,D,D,L,L, 
AI, , , , ,e1,D,e1,e1, , , , , ,D,D,D,D,D, , , ,e2,e1,D, , , , ,e1,D,D,e1, , , ,D,D,D,D,e1,e2, 
AJ, , , ,e2,D,D,D,e1,D, , , ,D,D,D,D,e1,n2, , , ,n1,n1,n1, , , , ,e1,D,D,e1,D, , , , ,e1,D, , , 
AK,D,D,D,D, , , ,D,D,D,D,D,n1, , , , , , ,D,D,D,D,D,D, , , ,D,D, , , , ,D,D,D,D,D, , , 
AL,D,e1,e1,D,D,D, , , ,D,D,D,D,e1,e1, , , , , , , ,D,D,e1, , , ,e1,e2,e1,e1, , , ,e2,D,D,e1, , , 
AM, ,D,n1, , , , ,D,D,D,D, , , ,D,D,D,D,D,D, , , ,n2,n1, , , , , , ,D,D,D,D,D,D, , , ,e2,D
AN,D,L, , , , , , ,D,D,L,L,L, , , , ,L,L,L,L,n2, , , , , , ,n2,n1,n1,n1, , , , ,D,L,L,L,L,L
AO,e2,D, , , , , ,e1,L, , , , , ,D,D, , , , , ,D,L, , , , , , , , ,D,D,L,L, , , ,L,n1,n1, 
AP,L,L, , , , , ,L,L, , , , , , , , ,D,L, , ,L,n1, , , , , , ,L,L, , , , ,e2,D,D,D,D, , 
AQ, , , , , , , ,D,n2, , , , , , ,D,D,e1, , , , , , ,D,e1, , ,D,D,D, , , , ,D,n2,n1,n1, , , 
