,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
A, ,d1,d1,d1, , , , ,N,N,N,N, , , ,d1,d1,d1,N, , , , , ,d1,d1, , ,E,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,N,N,N, , ,d1,d1,d1,d1,d1, , ,E,d1,d1,N,N, , ,E,E,E, , , , ,E,d1,d1,d1,N, , 
B,d1,d1,d1, , , , ,E,E,d1,d1,d1, , ,E,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , , ,E,E,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,E,d1,d1,d1, , ,E,d1,d1,d1,d1, , , , , ,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,d1,d1,d1,d1, , 
C,d1,d1,d1,d2,d1, , ,d2,d2,d1,d2,d1, , , , , , ,d1,d1, , ,E,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d2, , ,E,d1,d1,d1,d2, , , ,E,E,E,E, , , , ,d1,d1, , ,E,d1,d1,d1, , , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d2,d1, , 
D,L,N,N,N,N, , ,E,L,L, , , , , , ,E,E,E,L,L, , ,E,E,E, , ,E,E,E,L,L, , , ,E,E,d2,L, , ,L,L,L,L,L, , ,L,N,N,N,N, , ,N,N,N,N, , , ,L,L,L,L,L, , ,E,L,L,L,L, , ,d2,L, , , , , 
E,E,E,d1,d1,d1, , ,E,d1,d1,d1,d1, , ,E,d1,d1,d1,d1, , ,E,E,d1,d1,d1, , ,E,d1,d1, , , , ,d1,d1,d1,d1,d1, , , , , ,E,d1, , ,E,d1, , , , , ,E,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,d1,d1,d1,d1, , ,E,d1,d1,d1,d1, , 
F,d1,d1,d1,d1, , , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , , , , , , , , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , 
G,d1,L,L, , , , ,d2,d1,d1,L,L, , ,E,E,L,L,L, , ,L,L,L,L,L, , ,d1,d1,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L, , , , ,L,L, , , , ,d1,L,L,L,L, , ,E,d1,L,L,L, , ,d1,d1,d1,d1,L, , ,L,L,L,L,L, , 
H, ,N,N,N,N, , ,L,N,N,N,N, , ,d1,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L, , , ,d1,L,L,L,L, , ,d1,L,L,L,L, , , , ,d1,L,L,L, , , , ,d1,d1, , ,L,L,L,L,L, , , , , ,L,L, , 
I,E,E,d1,d1,d2, , ,d1,d2,d1,d1,d1, , ,d1,d1,d1,d2,d2, , ,E,E,d1,d1,d1, , ,E,E,d1,d1,d2, , , , ,E,E, , , , , ,E,d1,d1, , ,E,d2,d1,d1,d2, , , ,E,d1,d1,d1, , ,d2,d2,d2,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,d1,d2,d1,d1, , 
J, ,L,L,L,L, , , ,d2,L,L,L, , ,d1,d2,d1,L,L, , ,d2,L,L,L,L, , ,L,N, , , , , ,L,N,N,N,N, , ,L,L,L,L,L, , ,d1,L,N,N,N, , ,d1,d1, , , , ,L,L,L,L,L, , ,d1,d1,d2,L,L, , ,d1,L,L,L,L, , , 
K, ,L,L,L, , , , , , , ,L,L,L,L, , ,L,L, , ,E,L,L,L,L, , ,E,N,N,N,N, , ,E,E,L,L,L, , ,E,L,L,L,N, , ,E,E,E,E,E, , ,E,E,E,N,N, , ,E,L,L,L,L, , ,L,L,L, , , , ,L,L,L,L,N, , 
L, , ,L,L,L,L,L, , ,L,L, , ,d1,L,L,L,L, , , ,d1,d1,d1,L,L, , ,L,L,L,L,L, , ,d1,L,L,L,L, , ,E,E,E,E,L, , ,E,d1,d1,d1,L, , ,d1,L,L,L,L, , , , , ,d1,d1,d1,d1,d1, , , , , , ,d1,d1,d1,d1,d1, , 
M, ,L,L,L,L, , , , , , , , ,L,L,L,L, , , , ,E,E,E,L,L, , ,L,L,L,L,L, , ,L,N,N,N,N, , , ,E,L,L,L,N, , ,E,L,L,L,L, , ,E,L,L,L, , ,E,L,L,L,L, , ,L,L,L,L,N, , ,E,E,E,L,L, , 
N, ,E,E,E,E, , , ,d2,d1,d1,d1, , , ,E,d1,d1,d1, , ,E,E,E, , , , , , ,d1,d2,d1, , ,E,d1,d1,d1,N, , ,d2,d2,d1,N,N, , ,E,d1,d1,d1,d1, , ,E,d1,N,N,N, , ,E,d2,d1, , ,E,d1,d1,d1,d1, , , , ,d1,N,N,N,N, , 
O, , , , , , , ,L,L,L,L,L, , , ,E,d2,d1,d1,d1, , , ,d1,d1,L, , ,L,L,L,L,L, , ,d1,d1,L,L,L, , ,d1,L,L,L,L, , ,d1,d1,L,L,L, , ,d1,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , ,E,E,L,L,L, , 
P,L,L,L,L,L, , ,d1,L,L,L,L, , ,d1,d1,L,L,L, , ,E,L,L, , , , , , ,d1,L,L,L,L, , ,L,L,L, , ,d1,d1,L,L,L, , ,E,L,L,L,L, , ,d1,L,L,L,L, , , , ,L,L,L, , ,d1,d1,L,L,L, , ,L,L,L,L,L, , 
Q,L,L,L,L,L, , ,L,L,L,L,N, , ,E,L,L,L,N, , , , , , , , ,E,d2,L,L,L, , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,N,N, , , , ,E,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , ,L,L,L,L,L, , 
R, ,E,E,E, , , , ,E,E,E,E, , , ,E,E,E,E, , ,E,E,E,E,N, , ,E,E,N,N,N, , ,E,E,E,E,E, , ,E,E,E,E,E, , , ,E,E, , , , , , ,N,N,N, , ,E,E,E,N,N, , ,E,E,E,E,E, , ,E,E,E,E,E, , 
S, , , , , , ,d1,L,L,L, , , , ,L,N,N,N,N, , ,N,N,N,N,N, , ,E,E,d1,d1,L, , ,d1,L,L,L,L, , ,d1,L,L,L,L, , ,L,L,N,N,N, , , , , ,L,L, , ,d1,d1,L,L,L, , ,d1,d1,d1,L,L, , ,d1,d1,L,L,L, , 
T,d1,d1,d1, , , , ,d1,d1,d1,d1,d1, , ,E,d1,d1, , , , ,d1,d1,d1,d1,d1, , , , , ,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,E,E,E,d1, , ,d1,d1,d1,d1,d1, , ,E,d1,d1,d1,d1, , 
U,E,d1,d2,d1, , , ,E,E,E,E,E, , ,d1,d1,d1,d1,d1, , , ,E,E,E,d1, , ,E,E,d1,d1,d2, , ,E,E,d1,d1,d1, , , , ,d1,d1,d2, , ,d1,d1,d1,d1,d1, , ,d2,d1,d1,d1,d1, , ,E,E,E,d1,d1, , ,d1,d1,d1, , , , ,d2,d1,d2,d1,d1, , 
V,d1,d2,d1,d1,d1, , ,d1,d1,d1,d2,d1, , ,d1,d1, , , , , ,d1,d1,d2,d1, , , , , , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d2,d1,d2,d1,d1, , ,d2,d1,d2,d1,d1, , ,d1,d1, , ,d2,d2,d1,d1,d1, , ,d1,d2,d1,d1,d1, , ,d1,d1,d2,d2,d1, , 
W,E,E,E,L,L, , ,E,E,E,L,L, , ,E,L,L,L,L, , , , , ,E,E, , ,E,E, , ,E,L,L,L,L, , , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L, , , , 
X,L,L,L,L,L, , ,d1,d2,L,L,L, , ,L,L,L,L,L, , , , , , ,L,L, , ,E,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L, , , , , ,E,d1,d1,L,L, , ,d1,d2,L,L,L, , ,d2,d1,d1,d1,d1, , ,E,d1,d1,d1,d1, , 
Y, ,d1,d1,d1,d1, , ,E,L,L,L,L, , ,E,E,d1,d1,L, , ,d1,d1,L,L,L, , ,d1,L,L,L,L, , , ,E,N,N,N, , ,E,E,d1,d1,L, , ,L,N, , , , , , ,d1,d1,L,L, , , , ,d1,N,N, , ,d1,L,L,L,L, , ,d1,L,L,L,L, , 
Z,L,L,L,L,L, , ,d1,L,L,L,L, , ,L,L, , , , , ,L,L,L,L,L, , ,d1,L,L,N,N, , ,L,N,N,N,N, , ,L,L,L,N,N, , ,d1,L,L, , ,d1,d1,L,L,L, , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L, , , , , 
AA, ,L,L,L,L, , ,d1,d2,d1,d1,L, , ,L,L,L,L,N, , ,d2,L,N,N,N, , ,E,d1,d2,L,L, , ,E,E,d1,d1,d1, , ,L,L,N,N,N, , ,d2,L,L,N,N, , ,d2,d1,L,L,L, , ,L,L,L,L,L, , , , , ,L,N, , , , , , , , , 
AB,E,E,d1,L,L, , ,L,L,L,L,L, , ,d1,d1,d1,L,L, , ,E,L,L,L, , , , , , ,d1,d2, , ,E,E,E,L,L, , ,d1,d2,L,L,L, , ,L,L,L,L,L, , ,d1,L,L, , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , 
AC,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , , , ,E,L,L,L,L, , ,E,L,L,L,L, , ,E,E,E, , ,L,L,L,L,L, , , , , , , , , ,E,E,d1,L,L, , ,E,d1,L,L,L, , ,L,L,L,L,L, , , , , ,L,L,L,L
AD,E,E,E,d2,d2, , ,E,E,d2,d2,d2, , ,E,E,E,E,E, , ,E,E,d2,d2,d2, , ,E,E,E,d2,d2, , ,E,E,E,E, , , , , , , , ,d2,d2,d2,d2,d2, , , , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , 
AE,E,L,L,L, , ,L,L,L,L, , , , ,d1,d1,d1,d2, , , ,d2,d1,L,L, , , ,E,d1,d1,L, , ,d1,L,L,L, , ,L,L,N,N, , , , , , , , ,E,E,d1,d2, , ,L,L,L,L, , ,E,E,L,L, , ,d1,L,N,N, , , ,E,E,d1,d1, , , 
AF,E,E,E, , , , , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E, , ,E,E,E, , , ,E,E,E,E, , , , ,E,E,E,E, , , ,E,E,E,E, , , ,E,E,E,E, , , 
AG,E,E,E,L, , ,L,L,L,L, , , , ,E,d2,L,L, , , , , , , , , , ,N,N,N,N, , , ,E,E,E,E, , , ,d2,L,L,L, , , ,E,L,L,L, , ,L,L,L,L, , ,E,E,E,d2, , ,E,E,E,d2, , ,L,L,L,N, , , ,d2,L,L,L
AH,d1,d1,d1,N, , , , , , , ,E,E,d1,d2, , ,E,d1,d2, , ,d1,d2,d2,d1, , , ,E,d1,d1,d1, , ,d1,d1,d1,d1, , ,d1,d1,d1,d1, , ,d1,d1,d1,d1, , ,d1,d1,d1, , ,E,d1,d1, , ,E,E,E,E, , , ,E,d1,d1,d2, , , ,E,E,E,d1, , , 
AI,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,E,d1, , , , , ,E,d1, , , , , , , ,E,d1, , , ,E,d1, , , , , ,d1,d2, , , , , ,d1,d1, , , , , ,E,E,E,d1, , , ,E,d1,d1,d2,d2, , , , , ,d1,d2, , 
AJ, , , , , ,E,L, , , , , , , ,L,L, , , , , ,E,d1, , , , , ,E,L, , , , , ,L,L, , , , , ,L,L, , , , , ,L,L, , , , ,L,L, , ,d1,d1,d1, , , , , , , , ,E,L,L,L,L, , ,L,L,L,L,L, , 
AK,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,N,N, , , , , ,E,E, , , , , ,E,E, , , , , ,E,d1, , , , , , , , , , ,E,E,E, , , , ,d1,d1,d1,d1,d1, , , , ,E,d1,d1,d1,d1, , 
AL,E,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,L,L, , , , , ,L,L, , , , , , , , ,L,L, , ,E,d1, , , , , , , , , , , , , ,d2,d1, , , , , ,L,L, , , , ,d1,d1,L,L,L, , ,N,N,N,N,N, , 
AM,d1,d1, , , , , ,E,E, , , , , ,E,d1, , , , , ,d1,d1, , , , , , , , ,E,d1, , , , , ,E,d1, , ,d1,d1, , , , , ,E,d1, , , , , ,d2,d1, , , , , ,E,d1, , , , , ,d1,d1,d2,d2, , , ,E,d1,d1,d1,d1, , 
AN,E,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d2, , , , , ,d1,d1, , , , , ,d1,d1, , , , , , , , , ,E,E,d1, , , , ,E,d1,d1,d1,d2, , ,E,E,E
