,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A, , ,D,D,D, , ,D,D,D,D,D, , 
B,D,L,L, , , , , ,E,D,D,D, , 
C, , , ,L,L, , ,D,D,L,L,L, , 
D, , ,E,L,L,L,L, , ,E,E,E, , 
E,E,E, , , , , ,E,E,E,E,E, , 
F, , ,D,D,D, , ,E,D,D,D,D, , 
G,D,L,L,L, , , ,E,D,D,D,D, , 
H,D,D,D,D, , , ,D,L,L,L,L, , 
I,L,L,L, , , , , ,D,D,D,D, , 
J, , , ,D,D, , ,D,D,D,D,D, , 
K,D,D,D,D, , , ,E,E,D,D, , , 
L,D,D,D,D, , , ,D,D,D,L, , , 
M, , , ,E,D, , , ,D,D,D,D,L,L
N,D,D,L, , , , , , ,D,D,D,D,L
O,D,D,D, , , ,L,L,L,L,L, , , 
P, , , , ,E,E,E, , , , ,E, , 
Q, , , , , , , , ,D,D,D,D, , 
R, , , ,E,D, , , , , ,D,D, , 
S,E, , , , , , ,E, , ,E,E, , 
T,D,D,D,D, , , , , , , , , , 
