,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,E,D,D,D,D, , ,E,E,D,D,D, , , , , ,E,D, , ,E,E,E,E,E, , 
B,D,D,D,D, , , ,E,E,E,E, , , ,D,D,D,D,D, , ,E,E,E,E,D, , 
C, , , ,D,D, , ,E,E,E,E,E, , ,L,L,L,L,L, , ,E,D,D,D,D, , 
D,E,E,E, , , , ,E,E,E,E,E, , ,E,E,E,E,E, , , , ,E,E,E,E,E
E,E,E,D,D, , , ,E,D,D,D,L, , , ,D,L,L,L, , ,L,L,L,L,L, , 
F,E,E,E,L,L, , ,E,E, , ,E,E,L,L,L, , , , , ,E,E,L,L,L, , 
G,E,E,E, , , , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , 
H,E,D,D,L,L, , ,D,D,D,L,L, , , , ,E,D,D,L,L, , , ,L,L, , 
I,E,D,D,D, , , ,D,D,D,D, , , ,D,D,D,D,D, , ,E,E,E,E,D, , 
J,D,D,D,D,D, , , ,D,D,D,D, , , , , ,E,L, , ,L,L,L,L,L, , 
K,D,L,L,L,L,L, , , , , , ,D,D,D,D,D,L, , , ,D,D,D,L, , , 
L,E,D,D,D,L,L, , , ,E,E, , , ,E,E,E, , , ,E,D,D,D,D, , , 
M,E,E,L, , , ,D,D,D,D,D, , , ,L,L,L,L,L,L, , , ,D,L, , , 
N,D,D,D,D, , , ,D,L,L,L, , , ,D,D,D,D, , , ,E,E,E,D, , , 
O,E,D,D,D,D,D, , , , ,D,D,D,D,D,D, , , , , ,E,E,D,D, , , 
P,D, , , , , , , ,D, , , , , ,D,D, , , , , ,D,D,D,D,D, , 
Q,E, , , , , , ,D, , , , , , ,E,E, , , , , ,E,E,E,D,D, , 
R, , , , , , , , , ,D, , , , ,E,D,D,D, , , ,D,L, , , ,E,E
S, , , , , ,E, , , , , , , , ,D,D,D, , , , ,D,D,D,L,L, , 
T,E, , , , , , ,D, , , , , , ,D,D,D, , , , ,E,D,D,D, , , 
