NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
A,D, , ,E,E,L,L,N, , ,E,N, , , , , , ,E,E,E,E, , ,L,L,L,L,L, , ,N,N, , ,D,L,L,L,L, , 
B,N,N,N, , ,D,D, , ,N,N, , , ,D,D,D,D,D, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , 
C,E,E,D,N,N, , ,E,L,L, , ,E,E,D,E, , ,E,E,L,N, , , ,D,E,E,N,N, , , , , ,D,E,L, , , , 
D,L, , ,L,L,L,L, , ,D,L,L, , ,L,L,L,L, , , , , ,D,D,L,L,L, , ,D,L,L, , ,D,L, , ,D,D,D
E,L,L,N, , ,D,L,N,N, , ,E,L,L,L,L, , , , , ,L,L,L,L,L, , ,E,N, , ,E,E,E,E,N, , , , , 
F,D,D,D, , ,L,L,L,L, , , , , ,L,L,L,L,L, , ,D,D,D, , , , ,L,L, , ,D,D,D,L,L, , ,L,L,L
G,L,N, , , ,L,N,N,N,N, , ,D,D,D,D, , ,D,L,L,L, , ,D,D, , ,L,L,L, , , , ,L,L,L,L, , , 
H,E,E,D,E,E, , ,D,E,E,L, , , ,E,E,L,L, , , , , ,N,N,N,N,N, , , ,E,E,D,E, , , , ,E,E, 
I,D,D, , ,D,E,D,E,D, , ,E,E,E,D,N, , , ,D,D,E,E,N, , , , , ,D,E, , , , ,E,E,N,N,N, , 
J,L, , ,D,D,D,D,D, , ,E,E, , ,L,L,L, , ,D,E,E,E, , , ,E,D,D,D,N, , , , ,N,N,N,N, , , 
K,D,E,E, , , , ,L,L,L, , ,L,L,L,L,L, , , , ,L,L,L,L,L, , ,E,E, , , ,L,L, , ,E,D,D,E,D
L, , ,E,E,E,E,N, , ,D,L,N,N,N, , , ,L,L,L,L, , ,E,E, , , ,E,E,E,E, , , , ,E,L,L,N, , 
M, ,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D, , , , , , ,D,D,D,D,D, , ,D,D,D,D,D, , 
N,E, , , , , , ,E,E,D,E,E, , ,D,D,N, , ,D,D,D,E,E, , ,E,E,N, , ,E,E,N,N,N, , ,E,D, , 
O,D,D,D,D,D, , ,D,D,L,L,L, , , , , , , ,L,L,L,L,L, , ,L,L, , ,L,L,L,L,L, , ,D,L,L, , 
P,N,N,N,N, , , , , , ,D,D,D,D,N, , ,D,D, , , , ,D,D,D,D,D, , ,D,D,D, , , ,D,D,D,D,D, 
Q,L,L,L,L,L, , ,L,L,L,L,L, , ,D,D,D, , ,D,D, , ,L,L, , , , ,D,L, , ,D,D,D,L, , ,D,D, 
R,E,E,E,N,N, , , , ,E,E,E,E,E, , ,D,D,N, , ,D,D,D,D,E, , , , , , , ,N,N, , , ,E,D,D,D
S, ,E,D,D,E,N, , ,E,L,N, , ,E,E,E,E,D, , , ,E,D,N, , , , ,D,D,D,N, , ,E,E, , ,E,N, , 
T,D,D,D,D,D, , , ,D,D,D,D, , , , ,L,L,L,L,L, , ,D,D,D, , , ,D,L, , , ,D,L, , ,L,L,L,L
U, , , ,E,D,D,D,D,L, , , , , ,L,L,L,L,L, , , ,D,E,E,L, , , ,L,L,L,L,L,L, , , ,L,L,L,L
V,E,L,L,L,L, , , ,D,E,D,D, , , , ,D,E,E,E,E,E, , , , ,E,D,D,L, , , , , , ,E,E,E,D,E,D
W,L,L,L,L,L, , , , , , , ,L,L,N,N,N,N, , , ,L,L,L,L,L, , , , , ,L,L,L,L,L, , , ,L,L,N
X,N, , , , ,E,E,E,E,N,N, , , ,E,E,E,E,N, , , ,D,E,E,E,E,N, , , , , ,D,E,E,E,E,D, , , 
Y, ,E,E,D,D,E,E, , , , , , , ,E,E,E,E,D, , , ,E,E,D,D,E,E, , , ,E,E, , , ,D,D,E,E,E,E
Z, , , ,E,E,E,E,D,E, , , ,E,D,N,N,N,N, , , ,E,E,E,E, , , ,E,E,E,E,E, , , , , , ,E,E,N
AA, ,L,L,L,L,L,N, , , ,L,L,L,L,L, , , ,D,N,N,N,N, , , , , ,L,L,L,L,L, , , ,D,D,L, , , 
AB, , , ,D, , , , , , ,D,E, , , ,D,E, , ,E,D, , , , , ,E,E,E,E, , , ,E,E, , , , , , , 
AC, , , ,N, , , , , ,E,E,D,L,L, , ,N, , ,L,L, , , , , ,L,L, , ,D,D, , , , , , , , , , 
AD, , ,E,N, , , , , ,E,E,E,D,L, , , , , , , , , , , , ,L,L,L,N, , , ,D,E, , , , , , , 
AE, , , ,E, , , , , , ,D,D,D,D, , , ,D,L,N,N, , , , , , , , , , , , , , , , ,E,E,E,E, 
AF,E, , , ,E, , , , , , , ,D,E, , ,E,E,E,E,E, , , , , ,D,D, , , ,E, , , , , , , ,E, , 
