NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
A,e2,D,D,n2, , ,e2,D,D,D, , ,e2,D,D,D,n2, , ,D,D, , ,e2,n2, , , , , , ,e2,D, , ,e2,D, , , , , 
B,e1,e1, , , ,e1,e1,D,e1,e1, , ,D,e1,e1,e1,n1, , ,D,e1,n1, , ,n1,n1, , , ,D,e1,e1,e1, , , ,D,e1,e1,e1, , 
C,D,e1,e1,e1,e1, , , ,e1,e1,e1,e1, , ,D,D,n2, , ,D,D,e1,n2,n1, , ,D,e1,e1, , , ,n2,n1,n1,n1, , , , , , 
D,D,D,D,e1,e2, , , , ,e2,e1,e2,e1,n2, , ,e2,e1,e2,e1,e2, , ,e1,e1,e1,e2,n2, , ,D,n2, , , , , , , , , , 
E,e1,D,D,D, , ,D,e1,e1,n2,n1, , ,e1,e1,e1,e1,n2, , , ,n1,n1, , ,n2,n1, , , , , , , , ,D,e1,D,e1,e1, , 
F,L,L,L, , ,D,D,D, , , , ,L,L, , ,D,D,D,L,L, , ,L,L,L, , ,D,D,D,D,D, , ,D,D,D,D,L, , 
G,e1,e2,L, , ,e1,e2,e1,e2,L, , ,e2,e1,e2,e1,e2, , , , ,e2,L, , ,e2,e1,e2, , ,D,D,D, , , , , , , , , 
H,D,D,D,D,e1, , , , ,e1,e1,e1,e1,D, , ,e1,n1,n1,n1,n1, , ,D,D,D, , , , ,e1,e1,e1,e1,e1, , , ,D,e1, , 
I,e2,e1,e2, , ,L,L,L,L,n1, , ,L,L,L,L,L, , , , ,e2,e1,e1,e2, , , ,n1,n1, , , ,e2,e1,e2,n1, , , , , 
J,n1, , ,L,L,L,L,L, , ,D,e1,D,n2, , ,e1,e1,e1,n1,n1, , , ,D,n2, , ,L,n2,n1, , , , , ,e1,D,L, , , 
K,D, , ,e1,e2,e1,e2,L, , ,e2,L,L,n2, , , ,e2,D,e1,e2,n2, , ,e2,L, , , ,e2,n2, , , , ,e2,e1, , , , , 
L,D,e1, , ,D,e1,e1, , ,e1,e1,e1,e1,D, , ,e1,e1,D, , ,D,e1, , ,e1,D,D, , ,e1,e1,e1, , ,D,D,D,e1,e1, , 
M,e2,n2, , , ,L,L,L,n1,n1, , , ,e2,D,D,D,n2, , , ,L,n2,n1, , ,e2,D, , ,L,n1, , , ,e2,D, , , , , 
N,n2, , ,D,D,D,D,D, , ,L,L, , , , ,e1,e1,e1,e1,e1, , ,D,n2, , ,e1,e1,e1,D,n2, , , , ,D,D,e1,D, , 
O,e2,e1,e2, , ,e1,e2,e1,e2,L, , ,L,L,n1,n1,n1, , ,L,L, , ,D,D,D, , , , , ,e2,L, , , , , ,L,n1, , 
P,D,L,L,L,L, , , ,D,D,D,L,n1, , ,L,L,L,L,L, , ,n1,n1,n1, , , ,L,L,L,L, , , , , , ,D,D,D, 
