NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, , ,d2,p2,p2,p2,p4, , , ,d5,p3,p3,p3,p3, , ,d5,p4, , ,d5,p4,p1, , , , 
B,p1,p2,p3, , ,p2,p5,p1,p1,p1, , , , ,p1,p3,p3,n3, , ,a2,a2,a2,a2,d3, , , 
C, ,a1,a5,n1,n3, , ,p5,n1, , ,a1,a1,a1,p2,n2, , ,a1,a1,d3, , ,p2,n2, , , 
D, , , , ,d2,d2,d3, , ,p5,p3,p4, , ,p4,p4,p4,p4,p4, , , , ,p3,p3,p3,p3,p3
E, ,p5,p2,p5,n2, , ,p3,p3, , ,a3,n1,n1, , ,a1,a1,d5, , , , , ,a3,d4,p1,p1
F,d2,d2,a5, , ,p5,p2,p5,n2, , , , , , ,d5,n3,n2, , , , , , ,d1,d1,d5,p5
G,n3, , , , ,a3,a1,a2,a2,a5, , , , ,p2,p2,p2,p2,p2, , ,d1,d1,a5, , ,a3,a1
H,d1, , ,a3,d5, , ,d1,d5,p1,p4, , , ,a4,d5, , ,a4,a3,a3,d1,d1, , , , ,a2
I, , ,d1,d2,d1,d1,d1, , ,p4,p3,p1,n2,n2, , ,d2,d1,p5, , ,a5,p4,p1, , , , 
J,p5,p3,p5,p3,p5, , ,a3,p3, , ,p2,p2,p2,p2,n3, , ,a3,p3, , , , ,a2,d1, , 
K,a1,d1, , ,p4,p4,p4,p1, , ,p2,n1, , , ,d3,p2,n1,n2, , , , ,a3,p2,p1,p1,p1
L,a4,d1,d1, , ,a2,a3,a3, , ,d4,d4, , , , , ,a4,d2,d2,d2,d2, , ,p4,p4, , 
M, , , ,p4,p4, , ,a4,a1,a1,n1, , , ,a3,a5, , ,a3,a4,a1,n1, , , ,a4,d5,p4
N,p3,p3, , ,a1,d3,a5,p4, , ,p3,n3, , , ,a1,p3,n1,n2, , ,a2,d3, , , ,n1,n3
O,d2,d2,d4, , ,p3,p4,p3,p4,n2, , ,d2,d4, , ,p5,p3,p3, , ,p1,p3,p4, , , , 
P,a2,d3,p1,p2,p2, , ,d5,p1, , ,a3,a4,d4, , ,a2,d4,d2, , , , , , ,a4,d5,p3
Q, ,a1,d3,d3,d1, , ,d3,n3,n2, , ,d2,d2,d2,p5, , , , , ,a2,a3,p2, , ,d2,d4
R, ,n3,n1,n3,n1,n2, , , , , ,d1,a5,p2,n1, , ,p3,p3, , ,d1,d4,d1,p2,p2, , 
S, , ,a1,p3,p3,p3,p3, , ,a5,p5, , , ,a2,a1,a3, , ,d4,d4,p5, , ,p5,n3, , 
T, ,a2,a2,d5,n2,n2, , , ,a1,p5,p1,p5,p3, , ,a1,a1,p3, , , ,a3,a2,a3, , , 
U, , ,a2,a5, , , , , , ,a5,p1,n2,n2, , ,a4,a3,a2,a5,p4, , ,a3,p1,p5, , 
V,p1,n2, , , ,a1,a3,d2,d2,d2, , , ,d2,d5,p4,p4, , , , ,p4,p2,p4,n2, , , 
W, , ,d3,d3,d3, , ,d1,d3,p3,p5, , , ,d1,n3, , , ,p5,p3,p5,p3, , ,a1,d3,d3
X, ,a2,d5,n1,n2, , ,p3,p3,p4,n2, , , ,d3,p4,n1, , ,d4,d4,n1, , , , ,d1,d3
Y, , ,d2,d3,d5, , ,p4,p4,p4,p2,p1, , , ,p1,p1, , ,a3,d2,d2,d2, , , ,p4,p4
Z,d5,p4,p5,p3,p1, , , , ,a1,a1,a1,a1,a1, , , , , ,p1,p5,p1,p3,p4, , , , 
AA,d2, , ,p1,p3, , ,a5,p3,p3,p1, , , , ,d5,p1, , ,a2,a1,n3,n2,n2, , ,a1,a2
AB, ,d2,n3, , , , ,p2,p2,p1,p3, , , ,a1,a4,a5, , ,d3,a5,p3,p2, , , ,n2,n2
AC,n3, , ,a2,n1,n2,n2,n1, , ,p4,p3,p4,p3, , , ,p5,p3, , ,d2,d2,d2,d2, , , 
AD,d3,p5, , , ,d5,p1,p1,p2,p3, , , , , ,a2,d5,p1,p3, , ,d3,d1,d2, , ,n3,n1
AE,p2,p2,p2,p2, , , , ,a1,a3,a3,d5, , ,p2,p2, , ,p3,n1,n3,n1,n1, , , ,a3,a2
AF, ,a1,a4,a3, , , ,d1,n2,n2, , , , ,d4,d4,d2, , ,a1,a4,a3,n3, , ,a3,a1,a1
AG, , ,p3,p3,p3,n2,n2, , ,a3,a2,a2,a2,a1, , ,p2,p2,p2, , , ,d2,p3,p1,p3, , 
AH, ,a2,d5,n3, , , , ,p3,p3, , , , ,n3,n2, , ,a5,p3,p4,p3, , ,a2,p4,p3,n2
AI,d4,d4,d4, , ,d1,d1, , ,d5,n3, , , ,p2,p2,n3,n1, , , , , , ,a2,a2,n2,n1
AJ, , ,d1,d1,d1,d1,a5, , ,d3,d5,n2, , , , ,a1,d3,d3,d3,d3, , ,d3,a5,n2, , 
AK, , ,a1,n3,n1,n3,n1, , ,a1,a1,a3,a2,a3, , ,a3,a3,n1, , ,d3,d1,d1,d3, , , 
AL, ,d5,p4, , ,d5,p4,p4,p5, , ,a2,a4,a2, , ,a1,a2,d4, , ,a3,a4,d3, , , , 
AM,d4,d5,n2, , ,a3,d5, , ,a3,a5,p5, , ,a5,p1, , ,p1,p1,p1,p1,p1, , , , , 
AN, , , ,p3,p3,p3,p3,p2, , ,d3,a5, , ,p2,p5,n2,n2, , , ,p4,p3, , , ,p5,p3
AO,p3,p3,p4,p1, , , ,n2,n2, , ,p3,p3,p3,p3,p3, , , , , , ,d4,d4,d4,d4,p4, 
AP, , ,a3,a3,d3,d3,d5, , ,d3,d5,p1, , ,a1,d3,d3,p2, , , ,a2,p2, , ,a2,a2,a3
AQ,a1,a1,a1,a1,a1, , ,d1,n2, , ,d3,d5,p4,p5, , , , , , ,p2,p5,p1, , ,d3,d1
AR,a2, , , , ,a4,a2,a2,d4,d4, , , , ,a4,a2,d4,n1,n1, , ,a2,a2,d5,n1, , ,a4
AS, , ,a3,a1,a5, , ,a3,a3,a4, , ,a1,a3,a5,p5,p3, , ,d1,d3, , ,d2,p2,p3, , 
AT,a5, , ,p5,p1,p5,p1,p5, , , , ,d4,d4,d4,d4,p1, , , , , , ,p1,p1,p1, , 
AU,n2, , ,p1,p2,p2,p3,n2, , ,d2,d4, , ,n1,n1, , ,d1,p5,n1, , , ,d4,d5, , 
AV,a5,p1,p3, , ,d3,d2,p1,p1,n3, , , , , ,d1,d1,d1,d3, , , , , ,a3,a1,d2,d2
AW, , ,a1,d1,d2,n2,n2, , , ,a1,a4,a4,a1,a5, , , , , , ,a1,a2,a1,d1,p5, , 
AX,d3,a5,p5,p1,p1, , ,a4,d1,d5, , ,a5,p5,p1, , , , ,n1,n1,n2, , , , , , 
AY,a3,a5, , ,a2,a2,a2, , ,n1,n1,n2,n1,n2, , ,d4,p1,p1, , , ,a1,n3, , , , 
AZ,d5, , , ,a4,p2,p4, , , ,d4,d2, , ,a3,d3,d3,d4, , , ,d4,n1,n1, , ,p2,p4
BA,p3, , ,a4,p1,p3,n1, , ,d2,d4,n1, , , , ,p5,p3,p5,p3,p5, , ,a2,p2, , , 
BB, , ,a3,a3,a1,d1,a5, , ,d2,d3,d3, , ,n2,n2, , ,a3,a3,d1, , ,a1,n1,n1, , 
BC,p2,p2,p2, , ,a2,a2, , ,p2,p2,p2, , ,d3,d3, , ,a4,d2,d4,n3, , ,a2,d2, , 
BD,p1,p1,n2, , ,a2,a2,n3,n1,n3, , ,d3,d1,d3,a5, , , , , , ,d3,n1,n2, , , 
